deepcsv;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.971982) : (0.97807)) : (x<50 ? 0.980028:0.980832)) : (x<100 ? (x<80 ? (x<70 ? 0.981035:0.981811) : (0.981085)) : (x<120 ? 0.982622:0.983349))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.984474:0.982948) : (0.98167)) : (x<400 ? 0.983048:0.986311)) : (x<800 ? (x<670 ? 0.989251:0.977228) : (x<1000 ? 0.989387:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.953368) : (0.951656)) : (x<50 ? 0.946578:0.940938)) : (x<100 ? (x<80 ? (x<70 ? 0.935919:0.943468) : (0.932177)) : (x<120 ? 0.940347:0.933468))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.938088:0.959779) : (0.932188)) : (x<400 ? 0.964542:0.956877)) : (x<800 ? (x<670 ? 1.0302:1.05115) : (x<1000 ? 1.03735:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.0076) : (1.04777)) : (x<50 ? 1.08371:1.11562)) : (x<100 ? (x<80 ? (x<70 ? 1.11283:1.11749) : (1.13457)) : (x<120 ? 1.11654:1.16202))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.23021:1.30811) : (1.35683)) : (x<400 ? 1.48535:1.521)) : (x<800 ? (x<670 ? 1.65735:1.67034) : (x<1000 ? 1.81616:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.953303) : (0.964701)) : (x<50 ? 0.968818:0.970379)) : (x<100 ? (x<80 ? (x<70 ? 0.9712:0.972165) : (0.972025)) : (x<120 ? 0.973559:0.97433))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.974629:0.971301) : (0.968994)) : (x<400 ? 0.967403:0.966394)) : (x<800 ? (x<670 ? 0.963644:0.930698) : (x<1000 ? 0.925029:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.850593) : (0.855008)) : (x<50 ? 0.853418:0.845013)) : (x<100 ? (x<80 ? (x<70 ? 0.847238:0.855862) : (0.844576)) : (x<120 ? 0.863135:0.855404))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.863954:0.872371) : (0.846171)) : (x<400 ? 0.873523:0.860128)) : (x<800 ? (x<670 ? 0.920776:0.880864) : (x<1000 ? 0.827388:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.819191) : (0.846012)) : (x<50 ? 0.866179:0.889016)) : (x<100 ? (x<80 ? (x<70 ? 0.889874:0.896316) : (0.915206)) : (x<120 ? 0.900577:0.93463))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.991059:1.04859) : (1.06928)) : (x<400 ? 1.17538:1.2245)) : (x<800 ? (x<670 ? 1.27654:1.2957) : (x<1000 ? 1.32376:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.99066) : (0.99144)) : (x<50 ? 0.991238:0.991284)) : (x<100 ? (x<80 ? (x<70 ? 0.99087:0.991457) : (0.990144)) : (x<120 ? 0.991685:0.992368))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.994319:0.994595) : (0.994346)) : (x<400 ? 0.998694:1.00623)) : (x<800 ? (x<670 ? 1.01486:1.02376) : (x<1000 ? 1.05375:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.05614) : (1.0483)) : (x<50 ? 1.03974:1.03686)) : (x<100 ? (x<80 ? (x<70 ? 1.0246:1.03107) : (1.01978)) : (x<120 ? 1.01756:1.01153))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.01222:1.04719) : (1.0182)) : (x<400 ? 1.05556:1.05363)) : (x<800 ? (x<670 ? 1.13963:1.22144) : (x<1000 ? 1.2473:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.19601) : (1.24952)) : (x<50 ? 1.30124:1.34222)) : (x<100 ? (x<80 ? (x<70 ? 1.33579:1.33867) : (1.35393)) : (x<120 ? 1.3325:1.3894))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.46936:1.56764) : (1.64437)) : (x<400 ? 1.79532:1.81751)) : (x<800 ? (x<670 ? 2.03815:2.04498) : (x<1000 ? 2.30856:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.933271) : (0.950553)) : (x<50 ? 0.954804:0.957278)) : (x<100 ? (x<80 ? (x<70 ? 0.957048:0.956867) : (0.954668)) : (x<120 ? 0.955205:0.955979))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.95699:0.953987) : (0.949476)) : (x<400 ? 0.945285:0.948433)) : (x<800 ? (x<670 ? 0.949758:0.93287) : (x<1000 ? 0.958799:0)))" 
